id,Name,titleProject_id,class,score,login,password
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,BFvKrXOB
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,CPbnTgxa
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,nNxQChIm
67,Остюков Артур Романович,329,11и,3,Остюков_АР,x8bHHgFv
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,GQZ8Fqwl
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,zScjjHlS
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,cQK4c7Qd
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,ve8RTRfM
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,FJvtG95j
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,fsB4omny
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,MGXQclXW
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,3syAuYzp
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,5Lp6ebNT
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,biTuhn5g
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,SIWK9raD
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,yshobSLi
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,JxHLW1l9
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,OZNBzAg4
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,YzwuEFcj
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,h7lswjMD
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,Ys1NIMZo
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,OVTqP9R1
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,cqRDXwhx
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,Vh2sWKsk
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,lIg4LtbO
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,2F49hCW7
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,pqAWGYm0
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,dusIcvPB
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,d7QNbA7Q
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,EAUWs4HI
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,OxhPuqul
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,TJcVMIGU
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,D5F9IF2G
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,UcOrV4al
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,SkGxlTu2
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,tUPjfhUy
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,Lg3PYqwN
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,yva6g9MR
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,K3WRqKIj
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,KjENfShi
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,Z9k1LlQg
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,9dCHvCrx
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,h0VzF3oO
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,XV81tjX5
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,rz2GBPym
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,pYvlqx13
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,TJxt7SNn
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,TlkEbLdP
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,VGhmomwE
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,tD0hPT1N
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,ifzsA8pq
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,iOJGDMbC
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,DrouA5Ay
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,ekjAmmcE
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,1tszwb6d
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,jhygNWHa
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,OMPAIkil
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,nFzPzAGp
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,uJHTujbe
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,chlfNlIq
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,VNXEgoAl
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,HwMwAqGV
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,4FNyZiFi
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,1DyCArr5
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,4odFFZ5O
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,ZNhDxzxA
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,2QkoeTgA
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,87hpCQiB
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,bJv1HoWj
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,ODgwtxsJ
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,aQypyJam
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,8wodJczf
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,tOfcTAtS
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,FBt4VqTe
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,Q1rDmVnj
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,dzPwYDiO
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,tl8DjbEb
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,dNZc0yNn
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,7q0Q3Zm9
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,nFLMZRXL
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,nZJESmNH
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,k655Kdw8
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,4hbwBamv
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,GSA4sCeB
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,9LGM8QHM
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,14qw9TUd
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,pqVM93IE
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,bq5uNrfG
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,O2wWhMzE
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,5RVw4U0u
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,a8fdiyLO
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,waz1Xego
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,BHURzsG2
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,95mkhhba
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,pueOfcHc
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,uqzAMFVM
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,AsjUOpNe
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,imPPSA8W
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,jVOWZ8eJ
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,R7zaDEnp
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,Ws4Ino81
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,UqfLRwM9
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,P8v0xIdZ
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,VWaFQaki
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,xh9XZREW
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,B6gkZmhN
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,INbZkJBQ
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,wcjtUJ9E
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,UjoxFTud
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,LRxmmFmE
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,KvItP3mj
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,nVOF1cZI
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,gz7qVXNI
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,O93UEtHK
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,xXPiOj5g
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,gHBSbj0P
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,uxf5OppX
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,WCJsWlMV
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,ccG1r46w
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,bwKhyvRD
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,fxfUbQNI
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,h5rSRFJv
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,MAyizS1U
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,NO7NaKo3
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,WWj1ogzt
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,1aAHL7Js
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,PbTzhkdH
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,9Va9VxLt
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,J9HZ7z0t
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,XdQrwMom
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,E5vWQgZT
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,Myj7iSK1
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,9IX60Rkv
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,JcaxifIK
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,Mx8JavUY
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,zhGyDAbl
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,2ZMZTj59
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,vg3IP7n3
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,PZ8Zk1jU
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,qyjqKIfN
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,F5XCWS5C
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,SqIOwQIc
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,yhNBJBFE
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,gJYqbD1f
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,92N1q7Y0
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,z01FlrOh
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,rp6JhGTV
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,iKpt3P1p
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,MvX5WtWO
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,VQw6I8Jl
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,BG4reLjE
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,EmysNTGp
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,21Wcwr3O
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,JkWOUTGR
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,QOtBHksB
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,OJQZGWDc
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,O7l4qBST
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,vORj3Anr
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,tFNL5pbd
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,sN4G52Uz
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,Iz4anlZA
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,YFTR2Vc6
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,QkTMx677
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,XGBSbXHD
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,XANcurIp
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,VGjl90XH
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,wFyCsB94
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,iAwNm8m8
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,RzERdiwF
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,bll196Xo
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,C5Yoob5E
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,8K4aI5ZV
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,oH6dDQTC
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,ZTuZ099G
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,oY8KrnhE
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,3S27p7sS
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,JCSNaoFc
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,geCcJmhu
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,seFZXsQ2
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,Yw9tor3Q
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,p2KmRMzl
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,wh5QF7ZI
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,sb9xBHzL
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,CxrmNe8a
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,yj6WLHPJ
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,XVo1zOEL
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,vCDh6Y9A
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,j9kFjqEA
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,YB6RROZF
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,Tf3DjUle
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,S28cWXeW
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,zzJ0C0C6
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,9jxDJYYC
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,gRCseBza
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,SvHa27Up
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,Fo63Gvsx
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,7kWlnrRI
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,HSnY5D5I
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,pTaPyC6M
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,7r0J01Wr
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,koXuLiN1
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,dKLl9ZUW
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,tU45fQx3
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,3TjFm2r0
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,iM2au9FA
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,kpHonlvS
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,9Cbd2Pxi
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,QuUTbLyN
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,nhc1nsAe
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,he5Fw5zM
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,jyw1Yhnx
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,Dz0m6fqv
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,jXGUuVdL
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,jHxkL7a0
278,Углова Галина Романовна,260,9г,3,Углова_ГР,mecC60XK
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,2N0qcSC2
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,ftK09grQ
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,Y7r64vCG
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,BBzHbOcZ
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,HdyWhvNb
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,cjNiAZ21
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,Wkyk011X
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,mzHu3Qbl
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,rxdKPlLq
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,JhRJym3v
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,A5t72FPZ
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,b9qQUk3L
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,nSOhzsLS
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,BJ9nAGHR
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,zRa8kCPb
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,v1jtUgnX
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,LD6cSEUe
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,v7n5pFzI
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,FYUwHMfi
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,hMqs5UQD
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,JhSJbWtD
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,wLiEHIq2
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,ZwtqevgZ
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,XraZjcaR
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,XKQpDrpa
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,4bRfrIBG
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,rs3IJuln
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,frYTOrPT
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,yqgZ3igt
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,ZHJMwzxA
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,wAN9nvhI
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,tT5amzyh
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,AwQ0VFoN
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,qs6kSihS
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,rAoQq3AB
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,56EE2Q5Y
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,BdK4HYMs
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,HMDJ0LSm
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,7IQRV2eb
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,he7yJ6Xo
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,airQQGsV
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,K04eCGpT
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,6uEj0Fte
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,jVIryRAF
